polyclinic,date,time,patientCount
Ang Mo Kio,2017-12-11,13:55,129
Ang Mo Kio,2017-12-11,14:00,143
Ang Mo Kio,2017-12-11,14:05,143
Ang Mo Kio,2017-12-11,14:10,143
Ang Mo Kio,2017-12-11,14:15,163
Ang Mo Kio,2017-12-11,14:20,163
Ang Mo Kio,2017-12-11,14:25,163
Ang Mo Kio,2017-12-11,14:30,154
Ang Mo Kio,2017-12-11,14:35,154
Ang Mo Kio,2017-12-11,14:40,154
Ang Mo Kio,2017-12-11,14:45,161
Ang Mo Kio,2017-12-11,14:50,161
Ang Mo Kio,2017-12-11,14:55,161
Ang Mo Kio,2017-12-11,15:00,165
Ang Mo Kio,2017-12-11,15:05,165
Ang Mo Kio,2017-12-11,15:10,165
Ang Mo Kio,2017-12-11,15:15,170
Ang Mo Kio,2017-12-11,15:20,170
Ang Mo Kio,2017-12-11,15:25,170
Ang Mo Kio,2017-12-11,15:30,179
Ang Mo Kio,2017-12-11,15:35,179
Ang Mo Kio,2017-12-11,15:40,179
Ang Mo Kio,2017-12-11,15:45,178
Ang Mo Kio,2017-12-11,15:50,178
Ang Mo Kio,2017-12-11,15:55,178
Ang Mo Kio,2017-12-12,08:00,39
Ang Mo Kio,2017-12-12,08:05,39
Ang Mo Kio,2017-12-12,08:10,39
Ang Mo Kio,2017-12-12,08:15,76
Ang Mo Kio,2017-12-12,08:20,76
Ang Mo Kio,2017-12-12,08:25,76
Ang Mo Kio,2017-12-12,08:30,79
Ang Mo Kio,2017-12-12,08:35,79
Ang Mo Kio,2017-12-12,08:40,79
Ang Mo Kio,2017-12-12,08:45,88
Ang Mo Kio,2017-12-12,08:50,88
Ang Mo Kio,2017-12-12,08:55,88
Ang Mo Kio,2017-12-12,09:00,103
Ang Mo Kio,2017-12-12,09:05,103
Ang Mo Kio,2017-12-12,09:10,103
Ang Mo Kio,2017-12-12,09:15,112
Ang Mo Kio,2017-12-12,09:20,112
Ang Mo Kio,2017-12-12,09:25,112
Ang Mo Kio,2017-12-12,09:30,124
Ang Mo Kio,2017-12-12,09:35,124
Ang Mo Kio,2017-12-12,09:40,124
Ang Mo Kio,2017-12-12,09:45,124
Ang Mo Kio,2017-12-12,09:50,124
Ang Mo Kio,2017-12-12,09:55,124
Ang Mo Kio,2017-12-12,10:00,131
Ang Mo Kio,2017-12-12,10:05,131
Ang Mo Kio,2017-12-12,10:10,131
Ang Mo Kio,2017-12-12,10:15,126
Ang Mo Kio,2017-12-12,10:20,126
Ang Mo Kio,2017-12-12,10:25,126
Ang Mo Kio,2017-12-12,10:30,129
Ang Mo Kio,2017-12-12,10:35,129
Ang Mo Kio,2017-12-12,10:40,129
Ang Mo Kio,2017-12-12,10:45,137
Ang Mo Kio,2017-12-12,10:50,137
Ang Mo Kio,2017-12-12,10:55,137
Ang Mo Kio,2017-12-12,11:00,148
Ang Mo Kio,2017-12-12,11:05,148
Ang Mo Kio,2017-12-12,11:10,148
Ang Mo Kio,2017-12-12,11:15,136
Ang Mo Kio,2017-12-12,11:20,136
Ang Mo Kio,2017-12-12,11:25,136
Ang Mo Kio,2017-12-12,11:30,126
Ang Mo Kio,2017-12-12,11:35,126
Ang Mo Kio,2017-12-12,11:40,126
Ang Mo Kio,2017-12-12,11:45,128
Ang Mo Kio,2017-12-12,11:50,128
Ang Mo Kio,2017-12-12,11:55,128
Ang Mo Kio,2017-12-12,13:30,47
Ang Mo Kio,2017-12-12,13:35,47
Ang Mo Kio,2017-12-12,13:40,47
Ang Mo Kio,2017-12-12,13:45,59
Ang Mo Kio,2017-12-12,13:50,59
Ang Mo Kio,2017-12-12,13:55,59
Ang Mo Kio,2017-12-12,14:00,87
Ang Mo Kio,2017-12-12,14:05,87
Ang Mo Kio,2017-12-12,14:10,87
Ang Mo Kio,2017-12-12,14:15,101
Ang Mo Kio,2017-12-12,14:20,101
Ang Mo Kio,2017-12-12,14:25,101
Ang Mo Kio,2017-12-12,14:30,105
Ang Mo Kio,2017-12-12,14:35,105
Ang Mo Kio,2017-12-12,14:40,105
Ang Mo Kio,2017-12-12,14:45,112
Ang Mo Kio,2017-12-12,14:50,112
Ang Mo Kio,2017-12-12,14:55,112
Ang Mo Kio,2017-12-12,15:00,107
Ang Mo Kio,2017-12-12,15:05,107
Ang Mo Kio,2017-12-12,15:10,107
Ang Mo Kio,2017-12-12,15:15,113
Ang Mo Kio,2017-12-12,15:20,113
Ang Mo Kio,2017-12-12,15:25,113
Ang Mo Kio,2017-12-12,15:30,113
Ang Mo Kio,2017-12-12,15:35,113
Ang Mo Kio,2017-12-12,15:40,113
Ang Mo Kio,2017-12-12,15:45,125
Ang Mo Kio,2017-12-12,15:50,125
Ang Mo Kio,2017-12-12,15:55,125
Ang Mo Kio,2017-12-13,08:00,0
Ang Mo Kio,2017-12-13,08:05,0
Ang Mo Kio,2017-12-13,08:10,0
Ang Mo Kio,2017-12-13,08:15,39
Ang Mo Kio,2017-12-13,08:20,39
Ang Mo Kio,2017-12-13,08:25,39
Ang Mo Kio,2017-12-13,08:30,72
Ang Mo Kio,2017-12-13,08:35,72
Ang Mo Kio,2017-12-13,08:40,72
Ang Mo Kio,2017-12-13,08:45,80
Ang Mo Kio,2017-12-13,08:50,80
Ang Mo Kio,2017-12-13,08:55,80
Ang Mo Kio,2017-12-13,09:00,79
Ang Mo Kio,2017-12-13,09:05,79
Ang Mo Kio,2017-12-13,09:10,79
Ang Mo Kio,2017-12-13,09:15,89
Ang Mo Kio,2017-12-13,09:20,89
Ang Mo Kio,2017-12-13,09:25,89
Ang Mo Kio,2017-12-13,09:30,92
Ang Mo Kio,2017-12-13,09:35,92
Ang Mo Kio,2017-12-13,09:40,92
Ang Mo Kio,2017-12-13,09:45,105
Ang Mo Kio,2017-12-13,09:50,105
Ang Mo Kio,2017-12-13,09:55,105
Ang Mo Kio,2017-12-13,10:00,99
Ang Mo Kio,2017-12-13,10:05,99
Ang Mo Kio,2017-12-13,10:10,99
Ang Mo Kio,2017-12-13,10:15,112
Ang Mo Kio,2017-12-13,10:20,112
Ang Mo Kio,2017-12-13,10:25,112
Ang Mo Kio,2017-12-13,10:30,113
Ang Mo Kio,2017-12-13,10:35,113
Ang Mo Kio,2017-12-13,10:40,113
Ang Mo Kio,2017-12-13,10:45,120
Ang Mo Kio,2017-12-13,10:50,120
Ang Mo Kio,2017-12-13,10:55,120
Ang Mo Kio,2017-12-13,11:00,119
Ang Mo Kio,2017-12-13,11:05,119
Ang Mo Kio,2017-12-13,11:10,119
Ang Mo Kio,2017-12-13,11:15,123
Ang Mo Kio,2017-12-13,11:20,123
Ang Mo Kio,2017-12-13,11:25,123
Ang Mo Kio,2017-12-13,11:30,136
Ang Mo Kio,2017-12-13,11:35,136
Ang Mo Kio,2017-12-13,11:40,136
Ang Mo Kio,2017-12-13,11:45,130
Ang Mo Kio,2017-12-13,11:50,130
Ang Mo Kio,2017-12-13,11:55,130
Ang Mo Kio,2017-12-13,13:30,44
